title,year
"ARTIFICIAL INTELLIGENCE FOR COOPERATIVE COLLISION AVOIDANCE OF SHIPS
DEVELOPED BY MULTI-AGENT DEEP REINFORCEMENT LEARNING",2024
DYNAMIC GROUP BEHAVIOUR THROUGH PLANNING FOR GAME AGENT AI,2005
"Responsible Artificial Intelligence Hyper-Automation with Generative AI
Agents for Sustainable Cities of the Future",2025
"Collective behavior of artificial intelligence population: transition
from optimization to game",2019
"Managing the Twin Faces of AI: A Commentary on ``Is AI Changing the
World for Better or Worse?{''}",2024
"Multi-agent AI: Collaborative Design with Multiple AI Tools in Interior
Design Workflow",2025
"Unlocking autism's complexity: the Move Initiative's path to
comprehensive motor function analysis",2025
"Oscillatory evolution of collective behavior in evolutionary games
played with reinforcement learning",2020
"Scalability in Modeling and Simulation Systems for Multi-Agent, AI, and
Machine Learning Applications",2021
"LLM Agents for Smart City Management: Enhancing Decision Support Through
Multi-Agent AI Systems",2025
Emotionally Responsive Robotic Avatars as Characters in Virtual Worlds,2009
AI Inferences utilizing Occam Abduction,2016
Brief Announcement: Communication in Systems of Home Based Mobile Agents,2018
Generating Diverse Opponents with Multiobjective Evolution,2008
"Psychological Perspectives on Intentional Forgetting: An Overview of
Concepts and Literature",2019
"Stereoselective synthesis of dihydroisocoumarin moiety of microbial
agent AI-77-B: a Diels-Alder based strategy",1998
Investigation of the Effects of Nonverbal Information on Werewolf,2014
"Distributed optimization for degenerate loss functions arising from
over-parameterization",2021
"Intuitive Searching: An Approach to Search the Decision Policy of a
Blackjack Agent",2022
"Learning Environment Models in Car Racing using Stateful Genetic
Programming",2011
"When AI is Perceived to Be Fairer than a Human: Understanding
Perceptions of Algorithmic Decisions in a Job Application Context",2024
"The electric power market in the United Kingdom:: Simulation with
adaptive intelligent agents and the use of fuzzy cognitive maps as an
inference engine",2005
"Multiparty Dynamics and Failure Modes for Machine Learning and
Artificial Intelligence",2019
"A multi-agent AI reinforcement-based digital multi-solution for optimal
operation of a full-scale wastewater treatment plant under various
influent conditions",2023
"The influence of repeated two-syllable communication strategy on AI
customer service interaction",2024
"Notes on the existence of a solution in the pairwise comparisons method
using the heuristic rating estimation approach",2016
"Dancing on the inside: A qualitative study on online dance learning with
teacher-AI cooperation",2023
"Modelling terror management theory: computer simulations of the impact
of mortality salience on religiosity",2018
"When Large Language Models Meet Optical Networks: Paving the Way for
Automation",2024
Bias in Perception of Art Produced by Artificial Intelligence,2018
"Smart Fire Evacuation Service Based on Internet of Things Computing for
Web3D",2019
The Journey to Collaborative AI at the Tactical Edge (CATE),2021
"Exploring the role of judgement and shared situation awareness when
working with AI recommender systems",2024
"Artificial superintelligence and its limits: why AlphaZero cannot become
a general agent",2021
"Improving RTS Game AI by Supervised Policy Learning, Tactical Search,
and Deep Reinforcement Learning",2019
"AI-Enabled Network-Functions Virtualization and Software-Defined
Architectures for Customized Statistical QoS Over 6G Massive MIMO Mobile
Wireless Networks",2023
"A Cooperative Multi-Agent Q-Learning Control Framework for Real-Time
Energy Management in Energy Communities",2024
Deterministic Blind Rendezvous in Cognitive Radio Networks,2014
